NUMERO_FACTURA;CEDULA;FECHA_EMISION;AUTORIZACION;MONTO;IVA;DESCUENTO;COD_LOCAL;FECHA_CARGA;FECHA_INICIO;FECHA_FIN
48.0;1456239870.0;04/04/2018;AUT00048;33.59;4.0308;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
49.0;1234567890.0;05/05/2018;AUT00049;2.12;0.2544;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
50.0;2345678912.0;06/06/2017;AUT00050;11.47;1.3764;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
51.0;1123456789.0;07/07/2017;AUT00051;122.14;14.6568;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
52.0;1345678920.0;08/08/2017;AUT00052;56.1;6.732;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
53.0;123456789.0;09/09/2017;AUT00053;21.81;2.6172;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
54.0;123654789.0;10/10/2017;AUT00054;40.44;4.8528;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
55.0;231456792.0;11/11/2017;AUT00055;3.68;0.4416;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
56.0;1456239870.0;12/12/2017;AUT00056;11.53;1.3836;0.5765;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
57.0;1234567890.0;13/01/2018;AUT00057;145.91;17.5092;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
58.0;2345678912.0;14/02/2018;AUT00058;27.39;3.2868;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
59.0;1123456789.0;15/03/2018;AUT00059;80.44;9.6528;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
60.0;1345678920.0;16/04/2018;AUT00060;91.45;10.974;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
61.0;123456789.0;17/05/2018;AUT00061;66.04;7.9248;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
62.0;123654789.0;18/06/2017;AUT00062;29.94;3.5928;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
63.0;231456792.0;19/07/2017;AUT00063;17.04;2.0448;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
64.0;1456239870.0;20/08/2017;AUT00064;44.91;5.3892;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
65.0;1234567890.0;21/09/2017;AUT00065;34.73;4.1676;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
66.0;2345678912.0;22/10/2017;AUT00066;15.55;1.866;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
67.0;1123456789.0;23/11/2017;AUT00067;5.36;0.6432;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
68.0;1345678920.0;24/12/2017;AUT00068;61.7;7.404;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
69.0;123456789.0;20/01/2017;AUT00069;23.43;2.8116;1.1715;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
70.0;123654789.0;15/02/2017;AUT00070;7.02;0.8424;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
71.0;231456792.0;10/03/2017;AUT00071;32.04;3.8448;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
72.0;1456239870.0;08/04/2017;AUT00072;36.24;4.3488;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
73.0;1234567890.0;09/05/2017;AUT00073;33.9;4.068;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
74.0;2345678912.0;11/06/2017;AUT00074;0.9;0.108;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
75.0;1123456789.0;16/07/2017;AUT00075;1.82;0.2184;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
76.0;1345678920.0;18/08/2017;AUT00076;1.84;0.2208;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
77.0;123456789.0;21/09/2017;AUT00077;3.66;0.4392;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
78.0;123654789.0;24/10/2017;AUT00078;90.31;10.8372;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
79.0;231456792.0;25/11/2017;AUT00079;171.57;20.5884;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
80.0;1456239870.0;23/12/2017;AUT00080;10.31;1.2372;0.5155;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
81.0;1234567890.0;14/05/2018;AUT00081;19.76;2.3712;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
82.0;2345678912.0;15/01/2018;AUT00082;180.76;21.6912;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
83.0;1123456789.0;16/02/2018;AUT00083;99.4;11.928;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
84.0;1345678920.0;17/03/2018;AUT00084;26.75;3.21;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
85.0;123456789.0;18/04/2018;AUT00085;24.9;2.988;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
96.0;123654789.0;19/05/2018;AUT00096;2.12;0.2544;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
97.0;231456792.0;20/05/2018;AUT00097;5.25;0.63;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
98.0;1456239870.0;21/04/2018;AUT00098;3.11;0.3732;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
99.0;1234567890.0;01/01/2017;AUT00099;5.36;0.6432;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
100.0;2345678912.0;02/02/2017;AUT000100;12.58;1.5096;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
101.0;1123456789.0;03/03/2017;AUT000101;24.56;2.9472;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
102.0;1345678920.0;04/04/2017;AUT000102;9.87;1.1844;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
103.0;123456789.0;05/05/2017;AUT000103;1.23;0.1476;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
104.0;123654789.0;06/06/2017;AUT000104;2.34;0.2808;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
105.0;231456792.0;07/07/2017;AUT000105;3.45;0.414;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
106.0;1456239870.0;08/08/2017;AUT000106;4.56;0.5472;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
107.0;1234567890.0;09/09/2017;AUT000107;5.67;0.6804;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
108.0;2345678912.0;10/10/2017;AUT000108;6.78;0.8136;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
109.0;1123456789.0;11/11/2017;AUT000109;7.89;0.9468;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
110.0;1345678920.0;12/12/2017;AUT000110;0.9;0.108;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
111.0;123456789.0;13/01/2017;AUT000111;0.91;0.1092;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
112.0;123654789.0;14/02/2017;AUT000112;0.92;0.1104;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
113.0;231456792.0;15/03/2017;AUT000113;1.22;0.1464;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
114.0;1456239870.0;16/04/2017;AUT000114;1.33;0.1596;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
115.0;1234567890.0;17/05/2017;AUT000115;21.58;2.5896;1.079;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
116.0;2345678912.0;18/06/2017;AUT000116;35.68;4.2816;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
117.0;1123456789.0;19/07/2017;AUT000117;2.33;0.2796;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
118.0;1345678920.0;20/08/2017;AUT000118;3.44;0.4128;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
119.0;123456789.0;21/09/2017;AUT000119;2.44;0.2928;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
120.0;123654789.0;22/10/2017;AUT000120;2.55;0.306;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
121.0;231456792.0;23/11/2017;AUT000121;2.66;0.3192;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
122.0;1456239870.0;24/12/2017;AUT000122;9.88;1.1856;0.494;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
123.0;1234567890.0;01/01/2018;AUT000123;10.23;1.2276;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
124.0;2345678912.0;02/02/2018;AUT000124;18.29;2.1948;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
125.0;1123456789.0;03/03/2018;AUT000125;10.56;1.2672;0.528;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
126.0;1345678920.0;04/04/2018;AUT000126;13.24;1.5888;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
127.0;123456789.0;05/05/2018;AUT000127;19.88;2.3856;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
128.0;123654789.0;06/06/2017;AUT000128;4.01;0.4812;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
129.0;231456792.0;07/07/2017;AUT000129;1.02;0.1224;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
130.0;1456239870.0;08/08/2017;AUT000130;5.68;0.6816;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
131.0;1234567890.0;09/09/2017;AUT000131;4.89;0.5868;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
132.0;2345678912.0;10/10/2017;AUT000132;7.56;0.9072;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
133.0;1123456789.0;11/11/2017;AUT000133;21.95;2.634;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
134.0;1345678920.0;12/12/2017;AUT000134;104.2;12.504;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
135.0;123456789.0;13/01/2018;AUT000135;22.8;2.736;1.14;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
136.0;123654789.0;14/02/2018;AUT000136;26.13;3.1356;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
137.0;231456792.0;15/03/2018;AUT000137;26.17;3.1404;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
138.0;1456239870.0;16/04/2018;AUT000138;49.99;5.9988;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
139.0;1234567890.0;17/05/2018;AUT000139;109.37;13.1244;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
140.0;2345678912.0;18/06/2017;AUT000140;16.75;2.01;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
141.0;1123456789.0;19/07/2017;AUT000141;81.77;9.8124;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
142.0;1345678920.0;20/08/2017;AUT000142;97.73;11.7276;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
143.0;123456789.0;21/09/2017;AUT000143;33.59;4.0308;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
144.0;123654789.0;22/10/2017;AUT000144;2.12;0.2544;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
145.0;231456792.0;23/11/2017;AUT000145;11.47;1.3764;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
146.0;1456239870.0;24/12/2017;AUT000146;122.14;14.6568;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
147.0;1234567890.0;20/01/2017;AUT000147;56.1;6.732;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
148.0;2345678912.0;15/02/2017;AUT000148;21.81;2.6172;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
149.0;1123456789.0;10/03/2017;AUT000149;40.44;4.8528;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
150.0;1345678920.0;08/04/2017;AUT000150;3.68;0.4416;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
151.0;123456789.0;09/05/2017;AUT000151;11.53;1.3836;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
152.0;123654789.0;11/06/2017;AUT000152;145.91;17.5092;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
153.0;231456792.0;16/07/2017;AUT000153;27.39;3.2868;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
154.0;1456239870.0;18/08/2017;AUT000154;80.44;9.6528;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
155.0;1234567890.0;21/09/2017;AUT000155;91.45;10.974;4.5725;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
156.0;2345678912.0;24/10/2017;AUT000156;66.04;7.9248;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
157.0;1123456789.0;25/11/2017;AUT000157;29.94;3.5928;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
158.0;1345678920.0;23/12/2017;AUT000158;17.04;2.0448;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
159.0;123456789.0;14/05/2018;AUT000159;44.91;5.3892;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
160.0;123654789.0;15/01/2018;AUT000160;34.73;4.1676;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
161.0;231456792.0;16/02/2018;AUT000161;15.55;1.866;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
162.0;1456239870.0;17/03/2018;AUT000162;5.36;0.6432;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
163.0;1234567890.0;18/04/2018;AUT000163;61.7;7.404;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
164.0;2345678912.0;19/05/2018;AUT000164;23.43;2.8116;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
165.0;1123456789.0;20/05/2018;AUT000165;7.02;0.8424;0.351;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
166.0;1345678920.0;21/04/2018;AUT000166;32.04;3.8448;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
167.0;123456789.0;01/01/2017;AUT000167;36.24;4.3488;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
168.0;123654789.0;02/02/2017;AUT000168;33.9;4.068;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
169.0;231456792.0;03/03/2017;AUT000169;0.9;0.108;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
170.0;1456239870.0;04/04/2017;AUT000170;1.82;0.2184;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
171.0;1234567890.0;05/05/2017;AUT000171;1.84;0.2208;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
172.0;2345678912.0;06/06/2017;AUT000172;3.66;0.4392;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
173.0;1123456789.0;07/07/2017;AUT000173;90.31;10.8372;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
174.0;1345678920.0;08/08/2017;AUT000174;171.57;20.5884;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
175.0;123456789.0;09/09/2017;AUT000175;10.31;1.2372;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
176.0;123654789.0;10/10/2017;AUT000176;19.76;2.3712;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
177.0;231456792.0;11/11/2017;AUT000177;180.76;21.6912;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
178.0;1456239870.0;12/12/2017;AUT000178;99.4;11.928;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
179.0;1234567890.0;13/01/2017;AUT000179;26.75;3.21;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
180.0;2345678912.0;14/02/2017;AUT000180;24.9;2.988;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
191.0;1123456789.0;15/03/2017;AUT000191;2.12;0.2544;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
192.0;1345678920.0;16/04/2017;AUT000192;5.25;0.63;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
193.0;123456789.0;17/05/2017;AUT000193;3.11;0.3732;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
194.0;123654789.0;18/06/2017;AUT000194;5.36;0.6432;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
195.0;231456792.0;19/07/2017;AUT000195;12.58;1.5096;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
196.0;1456239870.0;20/08/2017;AUT000196;24.56;2.9472;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
197.0;1234567890.0;21/09/2017;AUT000197;9.87;1.1844;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
198.0;2345678912.0;22/10/2017;AUT000198;1.23;0.1476;0.0615;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
199.0;1123456789.0;23/11/2017;AUT000199;2.34;0.2808;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
200.0;1345678920.0;24/12/2017;AUT000200;3.45;0.414;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
201.0;123456789.0;01/01/2018;AUT000201;4.56;0.5472;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
202.0;123654789.0;02/02/2018;AUT000202;5.67;0.6804;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
203.0;231456792.0;03/03/2018;AUT000203;6.78;0.8136;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
204.0;1456239870.0;04/04/2018;AUT000204;7.89;0.9468;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
205.0;1234567890.0;05/05/2018;AUT000205;0.9;0.108;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
206.0;2345678912.0;06/06/2017;AUT000206;0.91;0.1092;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
207.0;1123456789.0;07/07/2017;AUT000207;0.92;0.1104;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
